,Date,Hour,Count,Weekday
2014-06-24 04:00:00,2014-06-24,4,66,Tuesday
2014-06-24 05:00:00,2014-06-24,5,158,Tuesday
2014-06-24 06:00:00,2014-06-24,6,283,Tuesday
2014-06-24 07:00:00,2014-06-24,7,412,Tuesday
2014-06-24 08:00:00,2014-06-24,8,360,Tuesday
2014-06-24 09:00:00,2014-06-24,9,249,Tuesday
2014-06-24 10:00:00,2014-06-24,10,226,Tuesday
2014-06-24 11:00:00,2014-06-24,11,212,Tuesday
2014-06-24 12:00:00,2014-06-24,12,242,Tuesday
2014-06-24 13:00:00,2014-06-24,13,296,Tuesday
2014-06-24 14:00:00,2014-06-24,14,373,Tuesday
2014-06-24 15:00:00,2014-06-24,15,461,Tuesday
2014-06-24 16:00:00,2014-06-24,16,513,Tuesday
2014-06-24 17:00:00,2014-06-24,17,672,Tuesday
2014-06-24 18:00:00,2014-06-24,18,507,Tuesday
2014-06-24 19:00:00,2014-06-24,19,445,Tuesday
2014-06-24 20:00:00,2014-06-24,20,467,Tuesday
2014-06-24 21:00:00,2014-06-24,21,548,Tuesday
2014-06-24 22:00:00,2014-06-24,22,389,Tuesday
2014-06-24 23:00:00,2014-06-24,23,172,Tuesday
2014-06-25 00:00:00,2014-06-25,0,107,Wednesday
2014-06-25 01:00:00,2014-06-25,1,56,Wednesday
2014-06-25 02:00:00,2014-06-25,2,42,Wednesday
2014-06-25 03:00:00,2014-06-25,3,67,Wednesday
2014-06-25 04:00:00,2014-06-25,4,95,Wednesday
2014-06-25 05:00:00,2014-06-25,5,155,Wednesday
2014-06-25 06:00:00,2014-06-25,6,353,Wednesday
2014-06-25 07:00:00,2014-06-25,7,519,Wednesday
2014-06-25 08:00:00,2014-06-25,8,420,Wednesday
2014-06-25 09:00:00,2014-06-25,9,285,Wednesday
2014-06-25 10:00:00,2014-06-25,10,293,Wednesday
2014-06-25 11:00:00,2014-06-25,11,257,Wednesday
2014-06-25 12:00:00,2014-06-25,12,349,Wednesday
2014-06-25 13:00:00,2014-06-25,13,353,Wednesday
2014-06-25 14:00:00,2014-06-25,14,484,Wednesday
2014-06-25 15:00:00,2014-06-25,15,559,Wednesday
2014-06-25 16:00:00,2014-06-25,16,655,Wednesday
2014-06-25 17:00:00,2014-06-25,17,764,Wednesday
2014-06-25 18:00:00,2014-06-25,18,819,Wednesday
2014-06-25 19:00:00,2014-06-25,19,576,Wednesday
2014-06-25 20:00:00,2014-06-25,20,653,Wednesday
2014-06-25 21:00:00,2014-06-25,21,809,Wednesday
2014-06-25 22:00:00,2014-06-25,22,557,Wednesday
2014-06-25 23:00:00,2014-06-25,23,346,Wednesday
2014-06-26 00:00:00,2014-06-26,0,163,Thursday
2014-06-26 01:00:00,2014-06-26,1,105,Thursday
2014-06-26 02:00:00,2014-06-26,2,43,Thursday
2014-06-26 03:00:00,2014-06-26,3,60,Thursday
2014-06-26 04:00:00,2014-06-26,4,98,Thursday
2014-06-26 05:00:00,2014-06-26,5,154,Thursday
2014-06-26 06:00:00,2014-06-26,6,343,Thursday
2014-06-26 07:00:00,2014-06-26,7,482,Thursday
2014-06-26 08:00:00,2014-06-26,8,462,Thursday
2014-06-26 09:00:00,2014-06-26,9,317,Thursday
2014-06-26 10:00:00,2014-06-26,10,341,Thursday
2014-06-26 11:00:00,2014-06-26,11,282,Thursday
2014-06-26 12:00:00,2014-06-26,12,313,Thursday
2014-06-26 13:00:00,2014-06-26,13,374,Thursday
2014-06-26 14:00:00,2014-06-26,14,526,Thursday
2014-06-26 15:00:00,2014-06-26,15,578,Thursday
2014-06-26 16:00:00,2014-06-26,16,624,Thursday
2014-06-26 17:00:00,2014-06-26,17,749,Thursday
2014-06-26 18:00:00,2014-06-26,18,737,Thursday
2014-06-26 19:00:00,2014-06-26,19,566,Thursday
2014-06-26 20:00:00,2014-06-26,20,683,Thursday
2014-06-26 21:00:00,2014-06-26,21,905,Thursday
2014-06-26 22:00:00,2014-06-26,22,845,Thursday
2014-06-26 23:00:00,2014-06-26,23,512,Thursday
2014-06-27 00:00:00,2014-06-27,0,218,Friday
2014-06-27 01:00:00,2014-06-27,1,130,Friday
2014-06-27 02:00:00,2014-06-27,2,79,Friday
2014-06-27 03:00:00,2014-06-27,3,126,Friday
2014-06-27 04:00:00,2014-06-27,4,109,Friday
2014-06-27 05:00:00,2014-06-27,5,160,Friday
2014-06-27 06:00:00,2014-06-27,6,306,Friday
2014-06-27 07:00:00,2014-06-27,7,475,Friday
2014-06-27 08:00:00,2014-06-27,8,392,Friday
2014-06-27 09:00:00,2014-06-27,9,269,Friday
2014-06-27 10:00:00,2014-06-27,10,279,Friday
2014-06-27 11:00:00,2014-06-27,11,276,Friday
2014-06-27 12:00:00,2014-06-27,12,282,Friday
2014-06-27 13:00:00,2014-06-27,13,376,Friday
2014-06-27 14:00:00,2014-06-27,14,457,Friday
2014-06-27 15:00:00,2014-06-27,15,596,Friday
2014-06-27 16:00:00,2014-06-27,16,622,Friday
2014-06-27 17:00:00,2014-06-27,17,623,Friday
2014-06-27 18:00:00,2014-06-27,18,613,Friday
2014-06-27 19:00:00,2014-06-27,19,497,Friday
2014-06-27 20:00:00,2014-06-27,20,479,Friday
2014-06-27 21:00:00,2014-06-27,21,610,Friday
2014-06-27 22:00:00,2014-06-27,22,814,Friday
2014-06-27 23:00:00,2014-06-27,23,790,Friday
2014-06-30 00:00:00,2014-06-30,0,69,Monday
2014-06-30 01:00:00,2014-06-30,1,50,Monday
2014-06-30 02:00:00,2014-06-30,2,43,Monday
2014-06-30 03:00:00,2014-06-30,3,96,Monday
2014-06-30 04:00:00,2014-06-30,4,99,Monday
2014-06-30 05:00:00,2014-06-30,5,152,Monday
2014-06-30 06:00:00,2014-06-30,6,310,Monday
2014-06-30 07:00:00,2014-06-30,7,378,Monday
2014-06-30 08:00:00,2014-06-30,8,352,Monday
2014-06-30 09:00:00,2014-06-30,9,245,Monday
2014-06-30 10:00:00,2014-06-30,10,210,Monday
2014-06-30 11:00:00,2014-06-30,11,236,Monday
2014-06-30 12:00:00,2014-06-30,12,255,Monday
2014-06-30 13:00:00,2014-06-30,13,294,Monday
2014-06-30 14:00:00,2014-06-30,14,300,Monday
2014-06-30 15:00:00,2014-06-30,15,353,Monday
2014-06-30 16:00:00,2014-06-30,16,408,Monday
2014-06-30 17:00:00,2014-06-30,17,450,Monday
2014-06-30 18:00:00,2014-06-30,18,376,Monday
2014-06-30 19:00:00,2014-06-30,19,363,Monday
2014-06-30 20:00:00,2014-06-30,20,457,Monday
2014-06-30 21:00:00,2014-06-30,21,362,Monday
2014-06-30 22:00:00,2014-06-30,22,244,Monday
2014-06-30 23:00:00,2014-06-30,23,172,Monday
2014-07-01 00:00:00,2014-07-01,0,76,Tuesday
2014-07-01 01:00:00,2014-07-01,1,36,Tuesday
2014-07-01 02:00:00,2014-07-01,2,20,Tuesday
2014-07-01 03:00:00,2014-07-01,3,40,Tuesday
2014-07-01 04:00:00,2014-07-01,4,84,Tuesday
2014-07-01 05:00:00,2014-07-01,5,124,Tuesday
2014-07-01 06:00:00,2014-07-01,6,278,Tuesday
2014-07-01 07:00:00,2014-07-01,7,455,Tuesday
2014-07-01 08:00:00,2014-07-01,8,394,Tuesday
2014-07-01 09:00:00,2014-07-01,9,324,Tuesday
2014-07-01 10:00:00,2014-07-01,10,302,Tuesday
2014-07-01 11:00:00,2014-07-01,11,274,Tuesday
2014-07-01 12:00:00,2014-07-01,12,308,Tuesday
2014-07-01 13:00:00,2014-07-01,13,365,Tuesday
2014-07-01 14:00:00,2014-07-01,14,523,Tuesday
2014-07-01 15:00:00,2014-07-01,15,469,Tuesday
2014-07-01 16:00:00,2014-07-01,16,420,Tuesday
2014-07-01 17:00:00,2014-07-01,17,675,Tuesday
2014-07-01 18:00:00,2014-07-01,18,561,Tuesday
2014-07-01 19:00:00,2014-07-01,19,499,Tuesday
2014-07-01 20:00:00,2014-07-01,20,548,Tuesday
2014-07-01 21:00:00,2014-07-01,21,522,Tuesday
2014-07-01 22:00:00,2014-07-01,22,336,Tuesday
2014-07-01 23:00:00,2014-07-01,23,169,Tuesday
2014-07-02 00:00:00,2014-07-02,0,81,Wednesday
2014-07-02 01:00:00,2014-07-02,1,58,Wednesday
2014-07-02 02:00:00,2014-07-02,2,59,Wednesday
2014-07-02 03:00:00,2014-07-02,3,69,Wednesday
2014-07-02 04:00:00,2014-07-02,4,94,Wednesday
2014-07-02 05:00:00,2014-07-02,5,165,Wednesday
2014-07-02 06:00:00,2014-07-02,6,300,Wednesday
2014-07-02 07:00:00,2014-07-02,7,475,Wednesday
2014-07-02 08:00:00,2014-07-02,8,436,Wednesday
2014-07-02 09:00:00,2014-07-02,9,272,Wednesday
2014-07-02 10:00:00,2014-07-02,10,284,Wednesday
2014-07-02 11:00:00,2014-07-02,11,304,Wednesday
2014-07-02 12:00:00,2014-07-02,12,351,Wednesday
2014-07-02 13:00:00,2014-07-02,13,386,Wednesday
2014-07-02 14:00:00,2014-07-02,14,487,Wednesday
2014-07-02 15:00:00,2014-07-02,15,529,Wednesday
2014-07-02 16:00:00,2014-07-02,16,738,Wednesday
2014-07-02 17:00:00,2014-07-02,17,846,Wednesday
2014-07-02 18:00:00,2014-07-02,18,1193,Wednesday
2014-07-02 19:00:00,2014-07-02,19,961,Wednesday
2014-07-02 20:00:00,2014-07-02,20,688,Wednesday
2014-07-02 21:00:00,2014-07-02,21,643,Wednesday
2014-07-02 22:00:00,2014-07-02,22,352,Wednesday
2014-07-02 23:00:00,2014-07-02,23,181,Wednesday
2014-07-03 00:00:00,2014-07-03,0,107,Thursday
2014-07-03 01:00:00,2014-07-03,1,64,Thursday
2014-07-03 02:00:00,2014-07-03,2,48,Thursday
2014-07-03 03:00:00,2014-07-03,3,97,Thursday
2014-07-03 04:00:00,2014-07-03,4,121,Thursday
2014-07-03 05:00:00,2014-07-03,5,165,Thursday
2014-07-03 06:00:00,2014-07-03,6,298,Thursday
2014-07-03 07:00:00,2014-07-03,7,420,Thursday
2014-07-03 08:00:00,2014-07-03,8,400,Thursday
2014-07-03 09:00:00,2014-07-03,9,301,Thursday
2014-07-03 10:00:00,2014-07-03,10,256,Thursday
2014-07-03 11:00:00,2014-07-03,11,330,Thursday
2014-07-03 12:00:00,2014-07-03,12,374,Thursday
2014-07-03 13:00:00,2014-07-03,13,411,Thursday
2014-07-03 14:00:00,2014-07-03,14,496,Thursday
2014-07-03 15:00:00,2014-07-03,15,519,Thursday
2014-07-03 16:00:00,2014-07-03,16,467,Thursday
2014-07-03 17:00:00,2014-07-03,17,413,Thursday
2014-07-03 18:00:00,2014-07-03,18,663,Thursday
2014-07-03 19:00:00,2014-07-03,19,853,Thursday
2014-07-03 20:00:00,2014-07-03,20,521,Thursday
2014-07-03 21:00:00,2014-07-03,21,358,Thursday
2014-07-03 22:00:00,2014-07-03,22,292,Thursday
2014-07-03 23:00:00,2014-07-03,23,204,Thursday
2014-07-04 00:00:00,2014-07-04,0,164,Friday
2014-07-04 01:00:00,2014-07-04,1,160,Friday
2014-07-04 02:00:00,2014-07-04,2,134,Friday
2014-07-04 03:00:00,2014-07-04,3,141,Friday
2014-07-04 04:00:00,2014-07-04,4,78,Friday
2014-07-04 05:00:00,2014-07-04,5,92,Friday
2014-07-04 06:00:00,2014-07-04,6,91,Friday
2014-07-04 07:00:00,2014-07-04,7,94,Friday
2014-07-04 08:00:00,2014-07-04,8,117,Friday
2014-07-04 09:00:00,2014-07-04,9,127,Friday
2014-07-04 10:00:00,2014-07-04,10,164,Friday
2014-07-04 11:00:00,2014-07-04,11,187,Friday
2014-07-04 12:00:00,2014-07-04,12,251,Friday
2014-07-04 13:00:00,2014-07-04,13,361,Friday
2014-07-04 14:00:00,2014-07-04,14,321,Friday
2014-07-04 15:00:00,2014-07-04,15,287,Friday
2014-07-04 16:00:00,2014-07-04,16,191,Friday
2014-07-04 17:00:00,2014-07-04,17,218,Friday
2014-07-04 18:00:00,2014-07-04,18,230,Friday
2014-07-04 19:00:00,2014-07-04,19,237,Friday
2014-07-04 20:00:00,2014-07-04,20,244,Friday
2014-07-04 21:00:00,2014-07-04,21,487,Friday
2014-07-04 22:00:00,2014-07-04,22,589,Friday
2014-07-04 23:00:00,2014-07-04,23,472,Friday
2014-07-07 00:00:00,2014-07-07,0,44,Monday
2014-07-07 01:00:00,2014-07-07,1,36,Monday
2014-07-07 02:00:00,2014-07-07,2,16,Monday
2014-07-07 03:00:00,2014-07-07,3,79,Monday
2014-07-07 04:00:00,2014-07-07,4,107,Monday
2014-07-07 05:00:00,2014-07-07,5,167,Monday
2014-07-07 06:00:00,2014-07-07,6,258,Monday
2014-07-07 07:00:00,2014-07-07,7,381,Monday
2014-07-07 08:00:00,2014-07-07,8,305,Monday
2014-07-07 09:00:00,2014-07-07,9,181,Monday
2014-07-07 10:00:00,2014-07-07,10,175,Monday
2014-07-07 11:00:00,2014-07-07,11,197,Monday
2014-07-07 12:00:00,2014-07-07,12,233,Monday
2014-07-07 13:00:00,2014-07-07,13,280,Monday
2014-07-07 14:00:00,2014-07-07,14,305,Monday
2014-07-07 15:00:00,2014-07-07,15,352,Monday
2014-07-07 16:00:00,2014-07-07,16,428,Monday
2014-07-07 17:00:00,2014-07-07,17,466,Monday
2014-07-07 18:00:00,2014-07-07,18,421,Monday
2014-07-07 19:00:00,2014-07-07,19,409,Monday
2014-07-07 20:00:00,2014-07-07,20,383,Monday
2014-07-07 21:00:00,2014-07-07,21,372,Monday
2014-07-07 22:00:00,2014-07-07,22,235,Monday
2014-07-07 23:00:00,2014-07-07,23,149,Monday
2014-07-08 00:00:00,2014-07-08,0,111,Tuesday
2014-07-08 01:00:00,2014-07-08,1,56,Tuesday
2014-07-08 02:00:00,2014-07-08,2,31,Tuesday
2014-07-08 03:00:00,2014-07-08,3,48,Tuesday
2014-07-08 04:00:00,2014-07-08,4,87,Tuesday
2014-07-08 05:00:00,2014-07-08,5,204,Tuesday
2014-07-08 06:00:00,2014-07-08,6,358,Tuesday
2014-07-08 07:00:00,2014-07-08,7,451,Tuesday
2014-07-08 08:00:00,2014-07-08,8,467,Tuesday
2014-07-08 09:00:00,2014-07-08,9,344,Tuesday
2014-07-08 10:00:00,2014-07-08,10,290,Tuesday
2014-07-08 11:00:00,2014-07-08,11,276,Tuesday
2014-07-08 12:00:00,2014-07-08,12,347,Tuesday
2014-07-08 13:00:00,2014-07-08,13,348,Tuesday
2014-07-08 14:00:00,2014-07-08,14,480,Tuesday
2014-07-08 15:00:00,2014-07-08,15,503,Tuesday
2014-07-08 16:00:00,2014-07-08,16,569,Tuesday
2014-07-08 17:00:00,2014-07-08,17,750,Tuesday
2014-07-08 18:00:00,2014-07-08,18,622,Tuesday
2014-07-08 19:00:00,2014-07-08,19,554,Tuesday
2014-07-08 20:00:00,2014-07-08,20,639,Tuesday
2014-07-08 21:00:00,2014-07-08,21,732,Tuesday
2014-07-08 22:00:00,2014-07-08,22,470,Tuesday
2014-07-08 23:00:00,2014-07-08,23,231,Tuesday
2014-07-09 00:00:00,2014-07-09,0,117,Wednesday
2014-07-09 01:00:00,2014-07-09,1,88,Wednesday
2014-07-09 02:00:00,2014-07-09,2,62,Wednesday
2014-07-09 03:00:00,2014-07-09,3,68,Wednesday
2014-07-09 04:00:00,2014-07-09,4,89,Wednesday
2014-07-09 05:00:00,2014-07-09,5,196,Wednesday
2014-07-09 06:00:00,2014-07-09,6,348,Wednesday
2014-07-09 07:00:00,2014-07-09,7,429,Wednesday
2014-07-09 08:00:00,2014-07-09,8,463,Wednesday
2014-07-09 09:00:00,2014-07-09,9,358,Wednesday
2014-07-09 10:00:00,2014-07-09,10,316,Wednesday
2014-07-09 11:00:00,2014-07-09,11,367,Wednesday
2014-07-09 12:00:00,2014-07-09,12,341,Wednesday
2014-07-09 13:00:00,2014-07-09,13,395,Wednesday
2014-07-09 14:00:00,2014-07-09,14,495,Wednesday
2014-07-09 15:00:00,2014-07-09,15,543,Wednesday
2014-07-09 16:00:00,2014-07-09,16,624,Wednesday
2014-07-09 17:00:00,2014-07-09,17,771,Wednesday
2014-07-09 18:00:00,2014-07-09,18,796,Wednesday
2014-07-09 19:00:00,2014-07-09,19,740,Wednesday
2014-07-09 20:00:00,2014-07-09,20,674,Wednesday
2014-07-09 21:00:00,2014-07-09,21,701,Wednesday
2014-07-09 22:00:00,2014-07-09,22,530,Wednesday
2014-07-09 23:00:00,2014-07-09,23,326,Wednesday
2014-07-10 00:00:00,2014-07-10,0,193,Thursday
2014-07-10 01:00:00,2014-07-10,1,91,Thursday
2014-07-10 02:00:00,2014-07-10,2,65,Thursday
2014-07-10 03:00:00,2014-07-10,3,86,Thursday
2014-07-10 04:00:00,2014-07-10,4,100,Thursday
2014-07-10 05:00:00,2014-07-10,5,190,Thursday
2014-07-10 06:00:00,2014-07-10,6,384,Thursday
2014-07-10 07:00:00,2014-07-10,7,480,Thursday
2014-07-10 08:00:00,2014-07-10,8,495,Thursday
2014-07-10 09:00:00,2014-07-10,9,388,Thursday
2014-07-10 10:00:00,2014-07-10,10,356,Thursday
2014-07-10 11:00:00,2014-07-10,11,370,Thursday
2014-07-10 12:00:00,2014-07-10,12,378,Thursday
2014-07-10 13:00:00,2014-07-10,13,412,Thursday
2014-07-10 14:00:00,2014-07-10,14,510,Thursday
2014-07-10 15:00:00,2014-07-10,15,684,Thursday
2014-07-10 16:00:00,2014-07-10,16,699,Thursday
2014-07-10 17:00:00,2014-07-10,17,853,Thursday
2014-07-10 18:00:00,2014-07-10,18,764,Thursday
2014-07-10 19:00:00,2014-07-10,19,736,Thursday
2014-07-10 20:00:00,2014-07-10,20,810,Thursday
2014-07-10 21:00:00,2014-07-10,21,848,Thursday
2014-07-10 22:00:00,2014-07-10,22,854,Thursday
2014-07-10 23:00:00,2014-07-10,23,543,Thursday
2014-07-11 00:00:00,2014-07-11,0,320,Friday
2014-07-11 01:00:00,2014-07-11,1,197,Friday
2014-07-11 02:00:00,2014-07-11,2,115,Friday
2014-07-11 03:00:00,2014-07-11,3,121,Friday
2014-07-11 04:00:00,2014-07-11,4,114,Friday
2014-07-11 05:00:00,2014-07-11,5,184,Friday
2014-07-11 06:00:00,2014-07-11,6,331,Friday
2014-07-11 07:00:00,2014-07-11,7,474,Friday
2014-07-11 08:00:00,2014-07-11,8,478,Friday
2014-07-11 09:00:00,2014-07-11,9,356,Friday
2014-07-11 10:00:00,2014-07-11,10,339,Friday
2014-07-11 11:00:00,2014-07-11,11,370,Friday
2014-07-11 12:00:00,2014-07-11,12,373,Friday
2014-07-11 13:00:00,2014-07-11,13,445,Friday
2014-07-11 14:00:00,2014-07-11,14,528,Friday
2014-07-11 15:00:00,2014-07-11,15,610,Friday
2014-07-11 16:00:00,2014-07-11,16,674,Friday
2014-07-11 17:00:00,2014-07-11,17,720,Friday
2014-07-11 18:00:00,2014-07-11,18,720,Friday
2014-07-11 19:00:00,2014-07-11,19,599,Friday
2014-07-11 20:00:00,2014-07-11,20,562,Friday
2014-07-11 21:00:00,2014-07-11,21,665,Friday
2014-07-11 22:00:00,2014-07-11,22,811,Friday
2014-07-11 23:00:00,2014-07-11,23,762,Friday
2014-07-14 00:00:00,2014-07-14,0,141,Monday
2014-07-14 01:00:00,2014-07-14,1,69,Monday
2014-07-14 02:00:00,2014-07-14,2,36,Monday
2014-07-14 03:00:00,2014-07-14,3,94,Monday
2014-07-14 04:00:00,2014-07-14,4,131,Monday
2014-07-14 05:00:00,2014-07-14,5,214,Monday
2014-07-14 06:00:00,2014-07-14,6,337,Monday
2014-07-14 07:00:00,2014-07-14,7,440,Monday
2014-07-14 08:00:00,2014-07-14,8,470,Monday
2014-07-14 09:00:00,2014-07-14,9,313,Monday
2014-07-14 10:00:00,2014-07-14,10,319,Monday
2014-07-14 11:00:00,2014-07-14,11,283,Monday
2014-07-14 12:00:00,2014-07-14,12,277,Monday
2014-07-14 13:00:00,2014-07-14,13,312,Monday
2014-07-14 14:00:00,2014-07-14,14,383,Monday
2014-07-14 15:00:00,2014-07-14,15,447,Monday
2014-07-14 16:00:00,2014-07-14,16,577,Monday
2014-07-14 17:00:00,2014-07-14,17,824,Monday
2014-07-14 18:00:00,2014-07-14,18,668,Monday
2014-07-14 19:00:00,2014-07-14,19,838,Monday
2014-07-14 20:00:00,2014-07-14,20,923,Monday
2014-07-14 21:00:00,2014-07-14,21,886,Monday
2014-07-14 22:00:00,2014-07-14,22,464,Monday
2014-07-14 23:00:00,2014-07-14,23,173,Monday
2014-07-15 00:00:00,2014-07-15,0,82,Tuesday
2014-07-15 01:00:00,2014-07-15,1,54,Tuesday
2014-07-15 02:00:00,2014-07-15,2,26,Tuesday
2014-07-15 03:00:00,2014-07-15,3,64,Tuesday
2014-07-15 04:00:00,2014-07-15,4,112,Tuesday
2014-07-15 05:00:00,2014-07-15,5,218,Tuesday
2014-07-15 06:00:00,2014-07-15,6,367,Tuesday
2014-07-15 07:00:00,2014-07-15,7,483,Tuesday
2014-07-15 08:00:00,2014-07-15,8,511,Tuesday
2014-07-15 09:00:00,2014-07-15,9,369,Tuesday
2014-07-15 10:00:00,2014-07-15,10,317,Tuesday
2014-07-15 11:00:00,2014-07-15,11,376,Tuesday
2014-07-15 12:00:00,2014-07-15,12,377,Tuesday
2014-07-15 13:00:00,2014-07-15,13,772,Tuesday
2014-07-15 14:00:00,2014-07-15,14,750,Tuesday
2014-07-15 15:00:00,2014-07-15,15,550,Tuesday
2014-07-15 16:00:00,2014-07-15,16,647,Tuesday
2014-07-15 17:00:00,2014-07-15,17,1069,Tuesday
2014-07-15 18:00:00,2014-07-15,18,1279,Tuesday
2014-07-15 19:00:00,2014-07-15,19,1347,Tuesday
2014-07-15 20:00:00,2014-07-15,20,1160,Tuesday
2014-07-15 21:00:00,2014-07-15,21,727,Tuesday
2014-07-15 22:00:00,2014-07-15,22,500,Tuesday
2014-07-15 23:00:00,2014-07-15,23,272,Tuesday
2014-07-16 00:00:00,2014-07-16,0,145,Wednesday
2014-07-16 01:00:00,2014-07-16,1,75,Wednesday
2014-07-16 02:00:00,2014-07-16,2,59,Wednesday
2014-07-16 03:00:00,2014-07-16,3,74,Wednesday
2014-07-16 04:00:00,2014-07-16,4,103,Wednesday
2014-07-16 05:00:00,2014-07-16,5,203,Wednesday
2014-07-16 06:00:00,2014-07-16,6,423,Wednesday
2014-07-16 07:00:00,2014-07-16,7,496,Wednesday
2014-07-16 08:00:00,2014-07-16,8,516,Wednesday
2014-07-16 09:00:00,2014-07-16,9,398,Wednesday
2014-07-16 10:00:00,2014-07-16,10,333,Wednesday
2014-07-16 11:00:00,2014-07-16,11,351,Wednesday
2014-07-16 12:00:00,2014-07-16,12,345,Wednesday
2014-07-16 13:00:00,2014-07-16,13,387,Wednesday
2014-07-16 14:00:00,2014-07-16,14,447,Wednesday
2014-07-16 15:00:00,2014-07-16,15,586,Wednesday
2014-07-16 16:00:00,2014-07-16,16,619,Wednesday
2014-07-16 17:00:00,2014-07-16,17,772,Wednesday
2014-07-16 18:00:00,2014-07-16,18,710,Wednesday
2014-07-16 19:00:00,2014-07-16,19,712,Wednesday
2014-07-16 20:00:00,2014-07-16,20,826,Wednesday
2014-07-16 21:00:00,2014-07-16,21,786,Wednesday
2014-07-16 22:00:00,2014-07-16,22,662,Wednesday
2014-07-16 23:00:00,2014-07-16,23,321,Wednesday
2014-07-17 00:00:00,2014-07-17,0,168,Thursday
2014-07-17 01:00:00,2014-07-17,1,118,Thursday
2014-07-17 02:00:00,2014-07-17,2,78,Thursday
2014-07-17 03:00:00,2014-07-17,3,84,Thursday
2014-07-17 04:00:00,2014-07-17,4,161,Thursday
2014-07-17 05:00:00,2014-07-17,5,239,Thursday
2014-07-17 06:00:00,2014-07-17,6,319,Thursday
2014-07-17 07:00:00,2014-07-17,7,479,Thursday
2014-07-17 08:00:00,2014-07-17,8,455,Thursday
2014-07-17 09:00:00,2014-07-17,9,381,Thursday
2014-07-17 10:00:00,2014-07-17,10,365,Thursday
2014-07-17 11:00:00,2014-07-17,11,353,Thursday
2014-07-17 12:00:00,2014-07-17,12,380,Thursday
2014-07-17 13:00:00,2014-07-17,13,469,Thursday
2014-07-17 14:00:00,2014-07-17,14,524,Thursday
2014-07-17 15:00:00,2014-07-17,15,600,Thursday
2014-07-17 16:00:00,2014-07-17,16,686,Thursday
2014-07-17 17:00:00,2014-07-17,17,779,Thursday
2014-07-17 18:00:00,2014-07-17,18,815,Thursday
2014-07-17 19:00:00,2014-07-17,19,783,Thursday
2014-07-17 20:00:00,2014-07-17,20,715,Thursday
2014-07-17 21:00:00,2014-07-17,21,910,Thursday
2014-07-17 22:00:00,2014-07-17,22,903,Thursday
2014-07-17 23:00:00,2014-07-17,23,638,Thursday
2014-07-18 00:00:00,2014-07-18,0,355,Friday
2014-07-18 01:00:00,2014-07-18,1,185,Friday
2014-07-18 02:00:00,2014-07-18,2,122,Friday
2014-07-18 03:00:00,2014-07-18,3,143,Friday
2014-07-18 04:00:00,2014-07-18,4,125,Friday
2014-07-18 05:00:00,2014-07-18,5,192,Friday
2014-07-18 06:00:00,2014-07-18,6,317,Friday
2014-07-18 07:00:00,2014-07-18,7,468,Friday
2014-07-18 08:00:00,2014-07-18,8,477,Friday
2014-07-18 09:00:00,2014-07-18,9,394,Friday
2014-07-18 10:00:00,2014-07-18,10,304,Friday
2014-07-18 11:00:00,2014-07-18,11,342,Friday
2014-07-18 12:00:00,2014-07-18,12,346,Friday
2014-07-18 13:00:00,2014-07-18,13,415,Friday
2014-07-18 14:00:00,2014-07-18,14,537,Friday
2014-07-18 15:00:00,2014-07-18,15,697,Friday
2014-07-18 16:00:00,2014-07-18,16,737,Friday
2014-07-18 17:00:00,2014-07-18,17,690,Friday
2014-07-18 18:00:00,2014-07-18,18,723,Friday
2014-07-18 19:00:00,2014-07-18,19,720,Friday
2014-07-18 20:00:00,2014-07-18,20,633,Friday
2014-07-18 21:00:00,2014-07-18,21,782,Friday
2014-07-18 22:00:00,2014-07-18,22,891,Friday
2014-07-18 23:00:00,2014-07-18,23,743,Friday
2014-07-21 00:00:00,2014-07-21,0,73,Monday
2014-07-21 01:00:00,2014-07-21,1,47,Monday
2014-07-21 02:00:00,2014-07-21,2,39,Monday
2014-07-21 03:00:00,2014-07-21,3,102,Monday
2014-07-21 04:00:00,2014-07-21,4,145,Monday
2014-07-21 05:00:00,2014-07-21,5,224,Monday
2014-07-21 06:00:00,2014-07-21,6,339,Monday
2014-07-21 07:00:00,2014-07-21,7,446,Monday
2014-07-21 08:00:00,2014-07-21,8,444,Monday
2014-07-21 09:00:00,2014-07-21,9,300,Monday
2014-07-21 10:00:00,2014-07-21,10,259,Monday
2014-07-21 11:00:00,2014-07-21,11,282,Monday
2014-07-21 12:00:00,2014-07-21,12,321,Monday
2014-07-21 13:00:00,2014-07-21,13,362,Monday
2014-07-21 14:00:00,2014-07-21,14,349,Monday
2014-07-21 15:00:00,2014-07-21,15,432,Monday
2014-07-21 16:00:00,2014-07-21,16,542,Monday
2014-07-21 17:00:00,2014-07-21,17,589,Monday
2014-07-21 18:00:00,2014-07-21,18,564,Monday
2014-07-21 19:00:00,2014-07-21,19,490,Monday
2014-07-21 20:00:00,2014-07-21,20,508,Monday
2014-07-21 21:00:00,2014-07-21,21,450,Monday
2014-07-21 22:00:00,2014-07-21,22,308,Monday
2014-07-21 23:00:00,2014-07-21,23,206,Monday
2014-07-22 00:00:00,2014-07-22,0,128,Tuesday
2014-07-22 01:00:00,2014-07-22,1,63,Tuesday
2014-07-22 02:00:00,2014-07-22,2,58,Tuesday
2014-07-22 03:00:00,2014-07-22,3,58,Tuesday
2014-07-22 04:00:00,2014-07-22,4,113,Tuesday
